   1. a                             art.任何一个；某一个；每一；一种；一份
1092. popular                       a.大众喜爱的，流行的；通俗的；民众的
1093. population                    n.人口，人口总数，全体
1094. pork                          n.猪肉
1095. position                      n.方位；姿态；情况；身份；职位 v.放置
1096. possible                      a.可能的，可接受的，合理的
1097. post                          ①n.柱 v.贴出 ②n.邮政 v.邮寄 ③n.职位
1098. postcard                      n.明信片
1099. postman                       n.邮递员
1100. potato                        n.马铃薯，土豆
1101. pound                         ①n.英镑；磅(重量单位) ②v.连续猛击
1102. power                         n.力量；电力，动力；控制力；权力；强国
1103. practise                      v.实习，练习；开业
1104. praise                        v.&n.表扬，赞美
1105. prefer                        v.更喜欢，宁愿
1106. prepare                       v.准备，筹备；使…有思想准备
1107. present                       ①v.给予 ②n.礼物 ③a.现在的 n.目前
1108. president                     n.总统，国家主席；总裁，会长，校长
1109. pretty                        a.漂亮的，迷人的 ad.相当，颇
1110. prevent                       v.阻止，防止
1111. price                         n.价格，代价 v.给…定价，标价
1112. pride                         n.自豪；自尊(心)；自负 v.以…为自豪
1113. primary                       a.主要的，首要的；最初的，基本的
1114. print                         n.印刷字体；印痕；照片 v.印；出版；打印
1115. prison                        n.监狱
1116. prisoner                      n.囚犯，俘虏
1117. private                       a.私人的，个人的；私立的；秘密的；幽僻的
1118. prize                         n.奖品，奖赏 a.得奖的；作为奖品的
1119. probably                      ad.很可能，或许
1120. problem                       n.问题，难题
1121. produce                       ①v.生产，产出；拿出；制作 ②n.产品
1122. product                       n.产品，产物；结果，成果；创作，作品
1123. programme                     n.节目；计划；电脑程序 v.计划；编制程序
1124. progress                      n.进步，进展；前进 v.进步，进展，前进
1125. project                       n.方案，规划，工程 v.发射；使凸出；规划
1126. promise                       n.诺言；希望，出息 v.允诺；给人以…指望
1127. pronounce                     v.发…音；宣布，宣告
1128. pronunciation                 n.发音
1129. proper                        a.正当的；合乎礼节的；特有的；彻底的
1130. protect                       v.保护
1131. proud                         a.自尊的，自豪的；骄傲的，妄自尊大的
1132. prove                         v.证明，证实；证明是，表明是
1133. provide                       v.提供，供给
1134. public                        a.公众的；政府的；公开的 n.公众，大众
1135. publish                       v.出版，发行；公布，发布
1136. pull                          v.拉，拖，拔；拉伤；吸引 n.拉，扯；拉绳
1137. punish                        v.惩罚，处罚；狠狠地对付，痛击
1138. pupil                         ①n.学生 ②n.瞳孔
1139. purple                        a.紫色的
1140. purpose                       n.目的，意图；用途，效果；决心，毅力
1141. purse                         n.钱包
1142. push                          v.推，推进；催逼，促使 n.推，推动，促进
1143. put                           v.放，安置；表达；提交
1144. quarter                       n.四分之一；(市镇的)区 v.把…分成四部分
1145. queen                         n.女王，王后；出众的女人
1146. question                      n.疑问(句)，问题；提案 v.询问；怀疑
1147. quick                         ①a.快的；性急的 ad.快 ②n.指甲下的嫩肉
1148. quiet                         a.安静的；寂静的；温和的 n.安静，静谧
1149. quite                         ad.完全，彻底；很，相当；实际上，真正地
1150. rabbit                        n.兔，野兔
1151. race                          ①n.比赛 v.和…比速度 ②n.人种，种族
1152. radio                         n.无线电通讯(收音机) v.用无线电通讯
1153. railway                       n.铁道，铁路
1154. rain                          n.雨；<pl>雨季 v.降雨；(使)雨点般落下
1155. raincoat                      n.雨衣
1156. rainy                         a.多雨的，下雨的
1157. raise                         v.抬起；提高；养育；召集 n.(工资的)提高
1158. rapid                         a.迅速的；(斜坡)陡的 n.<pl>急滩，湍流
1159. rat                           n.鼠；叛徒，卑鄙小人
1160. rather                        ad.稍微，颇；宁可，宁愿
1161. reach                         v.到达；伸出，延伸 n.可及的范围
1162. read                          v.阅读；领会；攻读；(计量器等)显示；可读
1163. ready                         a.准备好的；愿意的；敏捷的；在手边的
1164. real                          a.真实的，真正的；完全的，十足的
1165. realize                       v.认清，了解；实现
1166. really                        ad.事实上；非常 int.真的(表示兴趣等)
1167. reason                        n.理由；理性；道理 v.推理，思考；论证
1168. receive                       v.收到，领到；接待，接收…为成员；收听
1169. recent                        a.最近的，近来的
1170. recite                        v.朗诵，背诵；评述，列举
1171. record                        n.记录；最好成绩；唱片；履历 v.记录
1172. recorder                      n.录音机，记录器；记录者，记录员
1173. red                           a.红的，红色的 n.红色，红颜料
1174. reduce                        v.减少，缩减；使…变为(某个状态)；减肥
1175. refrigerator                  n.冰箱，冷藏室
1176. refuse                        v.拒绝，推辞，推却
1177. regard                        v.视为；注重 n.注意之点；关心；敬重
1178. regret                        v.懊悔，悔恨，遗憾 n.懊悔，悔恨，遗憾
1179. relation                      n.关联，关系；交往，事务；家人，亲属
1180. relationship                  n.关系，联系；亲戚关系
1181. relax                         v.使放松，轻松；使缓和，减轻；放宽，松懈
1182. remain                        v.停留，留下；仍然是，保持
1183. remember                      v.记得，忆及；问候，致意
1184. repair                        v.修补，修理；补救，纠正 n.修补，修理
1185. repeat                        v.重说，重做，重复 n.重复，重演
1186. reply                         v.&n.回答，答复
1187. report                        n.报道，报告；传闻，谣言 v.报道，报告
1188. require                       v.需要；要求，命令
1189. research                      n.研究，调查，探索 v.调查研究
1190. respect                       n.尊敬；考虑；方面；关系 v.尊敬；顾及
1191. rest                          n.休息；支撑物 v.(使)休息；(使)支撑
1192. restaurant                    n.餐馆，饭店，酒楼
1193. result                        n.结果，效果；计算的结果 v.发生；致使
1194. retell                        v.复述
1195. return                        n.回来，归还；回报 v.回来，回归；送回
1196. review                        v.复习；考察；写评论 n.回顾；检阅；书评
1197. rice                          n.稻，米，米饭
1198. rich                          a.有钱的；丰富的；贵重的；油腻的 n.富人
1199. rid                           v.使摆脱，使去掉，使获自由
1200. riddle                        n.谜，谜语
1201. ride                          v.骑(马等) n.(骑牲口或乘车等的)旅游
1202. right                         ①a.对的 ad.正好 n.公正 ②ad.向右 n.右边
1203. ring                          ①n.戒指 ②n.铃声 v.使(铃)响；打电话
1204. rise                          n.(数量等)增加；兴趣 v.升起；起立；突出
1205. risk                          n.风险，危险 v.使冒危险；冒…之险
1206. river                         n.江，河
1207. road                          n.路，公路，道路；途径，方法
1208. robot                         n.机器人
1209. rock                          ①n.岩层，岩；岩石 ②v.(使)摆动，摇动
1210. role                          n.角色；作用，任务
1211. room                          n.室，房间；空间，空位；余地，机会
1212. rope                          n.绳索，粗绳
1213. rose                          n.蔷薇花，玫瑰花；玫瑰色，玫瑰红
1214. round                         a.圆的 ad.回转地 prep.围绕 n.一圈 v.绕过
1215. row                           n.一行，一列，一排 v.划(船)，荡桨
1216. rubber                        n.橡胶；橡皮
1217. rubbish                       n.废物，垃圾；废话，胡说八道
1218. rule                          n.规则；惯常的事；统治 v.统治；裁决
1219. ruler                         n.统治者；尺，界尺
1220. run                           v.跑；逃；(使)运转；管理 n.跑步；远足
1221. rush                          n.冲；匆忙；急需 v.冲；匆忙地做；突发
1222. Russia                        n.俄罗斯，俄国
1223. Russian                       a.俄国的，俄语的，俄国人的 n.俄国人
1224. sad                           a.伤心的，悲哀的；糟透的，可叹的
1225. safe                          a.安全的；平安的；保险的 n.保险箱
1226. safety                        n.安全，平安，稳妥
1227. sail                          n.帆；乘船旅行；帆船 v.航行；起航，开船
1228. salad                         n.生菜，色拉
1229. sale                          n.销售，贩卖；贱卖，廉售
1230. salt                          n.盐，食盐；盐类 v.加盐于，用盐腌
1231. same                          a.同样的 pron.同样的人或物 ad.同样地
1232. sand                          n.沙；<pl>沙地
1233. sandwich                      n.三明治，夹心面包
1234. satisfy                       v.使满意；满足；符合；使确信
1235. Saturday                      n.星期六
1236. sausage                       n.香肠
1237. save                          ①v.拯救；储存；省去 ②prep.除…之外
1238. say                           v.说，讲；假定，比方说 n.发言权，决定权
1239. scarf                         n.围巾，头巾，披巾
1240. school                        n.学校；大学的院、系、研究所；学派；上课
1241. schoolbag                     n.书包
1242. science                       n.科学，科学研究；某门科学
1243. scientist                     n.科学家
1244. score                         n.得分；乐谱；二十 v.得分，获分；记下
1245. screen                        n.屏，幕，帘；银幕，荧光屏 v.遮蔽；甄别
1246. sea                           n.海，海水，海洋；(用于专有名词中的)海
1247. search                        v.搜寻，搜查；探查，探索 n.搜寻；调查
1248. season                        n.季节；(特定的)时期 v.调味；使适用
1249. seat                          n.座位；席位；臀部 v.使坐下；可容纳
1250. second                        a.第二的；补助的 n.第二个 ad.第二
1251. secret                        a.秘密的；私下的 n.秘密；秘诀；奥秘
1252. secretary                     n.秘书，书记；大臣，部长；干事，文书
1253. see                           v.看见；了解，领会；会见；想；经历；留神
1254. seem                          v.似乎，好像，仿佛
1255. seldom                        ad.很少，不常，难得
1256. sell                          v.销售，出售；经营，经销；被卖出，有买主
1257. send                          v.送，寄，派，遣；使变成，促使
1258. sense                         n.官能；辨识；意思；意识；判断力 v.感知
1259. sentence                      n.句子；判决 v.宣判，判决
1260. separate                      a.分离的；各自的 v.使分离；区分；分居
1261. September                     n.九月
1262. serious                       a.严肃的，庄重的；严重的，重大的；认真的
1263. servant                       n.仆人，佣人
1264. serve                         v.为…服务，为…效劳；服侍，接待
1265. service                       n.服务；服侍；公益事业；维修；宗教仪式
1266. set                           n.套；收音机 v.(日月)下落；放置 a.不动的
1267. seven                         n.&a.七(的)，七个(的)
1268. seventeen                     n.&a.十七(的)，十七个(的)
1269. seventh                       n.&a.第七(的)
1270. seventy                       n.&a.七十(的)，七十个(的)
1271. several                       a.几个的，数个的；各自的 pron.几个，数个
1272. shake                         v.(使)摇动，(使)挥动；动摇；(指声音)颤抖
1273. shall                         aux.v.(表示将来)将要，会
1274. shame                         n.惭愧；可耻之事物或人；遗憾 v.使蒙羞
1275. shape                         n.外形，样子；情况；模糊之物 v.使成形
1276. share                         n.一份；份额；股票 v.分给；共有；分摊
1277. she                           pron.她(主格)
1278. sheep                         n.羊，绵羊
1279. shelf                         n.架子，搁板
1280. shine                         v.(使)发光；擦亮；显得出众 n.光泽，光辉
1281. ship                          n.大船，舰 v.用船运
1282. shirt                         n.男衬衫，衬衫
1283. shoe                          n.鞋 v.给(马)钉蹄铁，给…装上鞋状物
1284. shop                          n.商店，店铺；车间，工场 v.去商店买东西
1285. short                         a.短的，近的，矮的，低的；短期的；不足的
1286. shorts                        a.短裤
1287. should                        aux.v.(表示义务)应该；(表示意愿等)就，该
1288. shoulder                      n.肩，肩膀 v.肩负；以肩冲，挤(路)
1289. shout                         v.大声喊，呼，叫；大声说 n.大叫，呼喊
1290. show                          n.表示；展览 v.给(人)看；显现；带引
1291. shower                        n.一阵雨；大量涌现的事物 v.下阵雨；淋浴
1292. shut                          v.关，闭；关上，闭起；(因关闭某物而)夹住
1293. shy                           a.羞怯的，腼腆的；易受惊的；谨慎的
1294. sick                          a.不适的，患病的；恶心的，反胃的；厌倦的
1295. side                          n.侧面；边，边缘；方面；一方 v.参与
1296. sight                         n.视力，视觉；看；视域；情景 v.看见
1297. sign                          n.记号；姿势；标识；迹象 v.签名；做手势
1298. silence                       n.寂静，无声；沉默，无言 v.使沉默
1299. silent                        a.寂静的，无声的；缄默的，不语的
1300. silk                          n.丝，丝织品，丝绸
1301. silly                         a.愚蠢的，愚昧的；无聊的
1302. silver                        n.银；银币；银器；银色 v.镀银于；变银色
1303. similar                       a.相似的，近似的
1304. simple                        a.简单的，简易的；朴实的，简朴的；天真的
1305. since                         ad.从那时到现在；以前 conj.自以后；既然
1306. sing                          v.唱，唱歌
1307. single                        a.单一的；各自的；未婚的；单人(用)的
1308. sir                           n.先生，阁下；(BrE)爵士
1309. sister                        n.姐妹；新如姐妹之人；修女，尼姑
1310. sit                           v.坐；使坐
1311. situation                     n.位置，场所；形势，事态；处境；工作
1312. six                           n.&a.六(的)，六个(的)
1313. sixteen                       n.&a.十六(的)，十六个(的)
1314. sixteenth                     n.&a.第十六(的)
1315. sixth                         n.&a.第六(的)，第六个(的)
1316. sixty                         n.&a.六十(的)，六十个(的)
1317. size                          n.大小，尺寸；号码，尺码
1318. skate                         v.滑冰，溜冰；滑过 n.滑冰，溜冰；冰鞋
1319. skill                         n.技能，技巧，技艺
1320. skirt                         n.裙子 v.位于或环绕…的边缘；回避，避开
1321. sky                           n.天，天空；天气，气候
1322. sleep                         n.睡眠，睡觉；睡眠时间 v.睡，睡着
1323. sleepy                        a.欲睡的，困倦的；静寂的，不活跃的
1324. slow                          a.缓慢的；费时的；迟钝的 v.(使)缓行
1325. small                         a.小的，少的；小规模的；不重要的，琐碎的
1326. smart                         a.鲜明的；时髦的；机灵的；轻快的；严厉的
1327. smell                         n.嗅觉；气味；臭味 v.嗅，闻；嗅出；发臭
1328. smile                         n.&v.微笑
1329. smoke                         n.烟；吸烟 v.冒烟；抽烟
1330. smooth                        a.平坦的；平稳的；圆润的 v.使平滑
1331. snack                         n.小吃，快餐
1332. snake                         n.蛇
1333. snow                          n.雪 v.降雪
1334. snowy                         a.雪(白)的；下雪的；多(积)雪的
1335. so                            ad.这么；如此；也；非常；不错 conj.因而
1336. soap                          n.肥皂
1337. social                        a.社会的；社交的，交谊的；社会性的
1338. society                       n.社会；群体，团体；社团；社交界
1339. sock                          n.短袜
1340. sofa                          n.沙发
1341. soft                          a.软的；柔滑的；柔和的；轻柔的；心软的
1342. soldier                       n.士兵，军人
1343. solid                         a.固体的；实心的；结实的；可靠的；一致的
1344. some                          a.一些；某一个 pron.一些；有些 ad.大约
1345. somebody                      pron.某人，有人；重要人物
1346. someone                       pron.某人，有人
1347. something                     pron.某事；若干；重要人物 ad.几分；很
1348. sometimes                     ad.有时，偶尔，间或
1349. somewhere                     ad.在某处，到某处
1350. son                           n.儿子
1351. song                          n.歌词，歌曲
1352. soon                          ad.不久，即刻；快，早
1353. sorry                         a.难过的，惋惜的；遗憾的，后悔的；可怜的
1354. sort                          n.种类，类别；样子 v.分类，整理；交往
1355. sound                         ①n.声音 v.(使)发声；听起来 ②a.健全的
1356. soup                          n.汤，羹
1357. south                         n.南，南方，南部
1358. southern                      a.南方的，在南方的，有关南方的
1359. space                         n.空间，太空；间距，距离；空地；期间
1360. spare                         a.多余的；备用的 v.舍弃不用；节约；饶恕
1361. speak                         v.说话；表达思想等；使用(语言)；演说
1362. speaker                       n.演说者；讲某种语言的人；扬声器
1363. special                       a.特殊的，专用的，特设的；附加的，格外的
1364. speech                        n.语言，说话，说话能力；演说，当众说话
1365. speed                         n.速度，速率；快速 v.速进；使速进；增速
1366. spell                         ①v.拼写；拼作 ②n.符咒；魅力；一段时间
1367. spend                         v.花费，付出(钱)；耗尽，消耗；消磨，度过
1368. spirit                        n.精神，心灵；幽灵；活力；本质；情绪；人
1369. spoon                         n.匙，调羹
1370. sport                         n.运动，活动；娱乐，戏谑；<pl>运动会
1371. spread                        v.展开；涂敷；(使)传布 n.范围；传播
1372. spring                        ①n.春，春季 ②n.跳；泉；弹簧 v.跳；出现
1373. square                        a.正方形的 n.正方形；平方 v.使成方形
1374. stair                         n.梯级；<pl>楼梯，阶梯
1375. stamp                         n.邮票；印章；踩；印记 v.跺(脚)；压印
1376. stand                         v.站立；屹立；坐落；忍耐 n.摊位；置物架
1377. standard                      n.标准；旗帜；支柱 a.标准的；权威的
1378. star                          n.星，星状物；明星，高手
1379. start                         n.开始；起点；惊起 v.开始；(使)发生
1380. state                         n.状态；国家，政府；州；级别 v.说，陈述
1381. station                       n.站，所；驻地；电台；社会地位 v.驻扎
1382. stay                          v.停留，逗留；维持，保持 n.停留，逗留
1383. steal                         v.偷，窃取；偷偷地移动；偷偷地夺取，攫取
1384. steel                         n.钢，钢铁；钢制武器 v.使坚硬
1385. step                          n.步，脚步；脚步声；步幅 v.走，举步；踩
1386. stick                         ①n.小树枝；杖，棍 ②v.插入；(使)粘着
1387. still                         ad.仍；然而；更 a.静止的；寂静的 n.寂静
1388. stocking                      n.长袜
1389. stomach                       n.胃；腹部；胃口，食欲，爱好
1390. stone                         n.石头，石块；矿岩；果核 v.向…扔石头
1391. stop                          n.停止；停车站；句号 v.停止；阻止；中止
1392. store                         n.储藏；储藏品；仓库；商店 v.储藏，贮存
1393. storey                        n.(建筑物的)层，楼
1394. storm                         n.风暴，暴风雨 v.狂怒，咆哮；猛攻，突击
1395. strange                       a.奇怪的，奇异的；对…感到陌生或不习惯的
1396. stranger                      n.陌生人，异乡人，异国人
1397. strawberry                    n.草莓
1398. stream                        n.(小)河，川，溪流 v.倾注，流出；飘扬
1399. street                        n.街，街道
1400. strict                        a.严厉的，严格的；明确的，严密的，精确的
1401. strong                        a.强壮的，强大的，坚固的；浓烈的
1402. student                       n.学生
1403. study                         n.研究；学科；书房 v.学习，研究；核阅
1404. stupid                        a.鲁钝的，愚蠢的
1405. subject                       ①n.主题；科目；主语 ②a.隶属的 v.使隶属
1406. succeed                       v.成功，完成；继任，继续
1407. success                       n.成功，成就，胜利；成功的人或事物
1408. successful                    a.取得成功的，达到目的的
1409. such                          a.如此的；上述的 pron.某类的人或事物
1410. sudden                        a.突然的，出乎意料之外的；快速的 n.突然
1411. suddenly                      ad.突然地，急速地
1412. suffer                        v.受苦，受害；经历(不愉快之事)；忍受
1413. sugar                         n.糖，食糖 v.加糖于
1414. suggest                       v.建议，提议；表明，暗示
1415. suggestion                    n.建议，意见；细微的迹象；暗示，联想
1416. summer                        n.夏，夏季
1417. sun                           n.太阳；阳光
1418. Sunday                        n.星期日
1419. sunny                         a.阳光充足的，晴朗的；快活的，乐观的
1420. supermarket                   n.超级市场
1421. supper                        n.晚餐
1422. supply                        n.供给，供应；满足(需要) n.供应，现货
1423. support                       v.支承；支持；拥护；供养 n.支撑物；拥护
1424. suppose                       v.认定，假定；推测，猜想；须以…为条件
1425. sure                          a.确信的，肯定的；可靠的 ad.确实地；当然
1426. surface                       n.表面；水面；外表 a.表面的 v.露出水面
1427. surprise                      n.惊愕；突然 v.使惊愕；不期而遇，撞见
1428. sweater                       n.厚运动衫，毛绒衫，卫生衣
1429. sweep                         n.扫除，打扫；扫动 v.打扫；扫荡；掠过
1430. sweet                         a.甜的；芬芳的，芳香的；舒服的；可爱的
1431. swim                          v.游泳，泅水；游过，横渡；漂浮 n.游泳
1432. swimming                      n.游泳
1433. swing                         v.(使)来回摆动；(使)旋转 n.摇摆；秋千
1434. system                        n.系统，体系；制度，体制；方式，规律
1435. table                         n.桌子；餐食，伙食；表格，目录
1436. tail                          n.尾，尾巴；尾状物；后部 v.尾随，跟踪
1437. take                          v.握；拿；捕捉；得到；接受；记录；需要
1438. tale                          n.故事；记述，传闻
1439. talk                          v.说话；谈论 n.谈话；非正式的演讲；话题
1440. tall                          a.高的，高大的
1441. tape                          n.(狭长的)带子；录音磁带；卷尺，皮尺
1442. task                          n.任务，工作，作业
1443. taste                         n.味道；味觉；爱好 v.尝，品尝；尝到
1444. taxi                          n.计程车，出租汽车
1445. tea                           n.茶，茶叶；午后茶点，下午茶
1446. teach                         v.教，讲授；教训，告诫
1447. teacher                       n.教师，先生，导师
1448. team                          n.一起…的一群人，队，组 v.(与…)合作
1449. technology                    n.工业技术，工艺学，应用科学
1450. teenager                      n.(十三岁到十九岁之间的)青少年
1451. telephone                     n.电话 v.打电话
1452. television                    n.电视，电视机
1453. tell                          v.告知，讲述；讲，说；吩咐；区别；了解
1454. temperature                   n.温度；体温，冷热
1455. ten                           n.&a.十(的)，十个(的)
1456. tennis                        n.网球
1457. tent                          n.帐篷
1458. tenth                         n.&a.第十(的)，十分之一(的)
1459. term                          n.期限，期间；学期；<pl>条件；关系；名词
1460. terrible                      a.可怕的，可怖的；极坏的，很糟的；极端的
1461. test                          n.测验，考试；试验，测试 v.试验；检验
1462. text                          n.正文，本文，语篇；原文；课文
1463. than                          conj.比，比较；除…之外
1464. thank                         v.谢，感谢，道谢 n.<pl>谢意，谢忱
1465. that                          a.那，那个 pron.那，那个；上述的…
1466. the                           art.(定冠词)这(那)，这(那)些；(表示特指)
1467. theatre                       n.剧场；阶梯式的教室(或会场)；戏剧
1468. their                         pron.他(它)们的
1469. theirs                        pron.(物主代词)他(她、它)们的东西
1470. them                          pron.(they的宾格)他(她、它)们
1471. themselves                    pron.他(她、它)们自己
1472. then                          ad.那时，其时；然后，后来；那么；此外
1473. there                         ad.在那里，往那里；在那一点上；(表示有)
1474. these                         pron.(this的复数)这些
1475. they                          pron.(主格)他(她、它)们
1476. thick                         a.厚的；稠密的；(指液体)稠的；愚笨的
1477. thin                          a.薄的；稀薄的；瘦的；稀疏的 v.使(变)薄
1478. thing                         n.东西，物；题目，主题；情况，事件
1479. think                         v.思索，考虑；认为；构想；有意；预料
1480. third                         n.&a.第三(的)，三分之一(的)
1481. thirsty                       a.口渴的；渴望的
1482. thirteen                      n.&a.十三(的)，十三个(的)
1483. thirty                        n.&a.三十(的)，三十个(的)
1484. this                          pron.&a.这，这个
1485. those                         pron.那些
1486. though                        conj.虽然 ad.可是，然而
1487. thought                       n.思索，思考；思想；考虑；观念，概念
1488. thousand                      n.&a.千(的)，千个(的)
1489. thread                        n.线，纱，丝；线状物；脉络，头绪，思路
1490. three                         n.&a.三(的)，三个(的)
1491. through                       prep.穿过；从头至尾 ad.贯穿地 a.做完的
1492. throw                         v.掷，投，抛；摔倒，摔下；投向，投射
1493. Thursday                      n.星期四
1494. ticket                        n.票，入场券；标签；交通违例通知单
1495. tidy                          a.整洁的，整齐的；相当大的 v.使整洁
1496. tie                           v.绳索，带子；领带；<pl>缘分 v.捆绑，系
1497. tiger                         n.老虎
1498. till                          ①conj.&prep.直至，到…为止 ②v.耕作
1499. time                          n.时刻；时间；次；时候 v.安排…的时间
1500. tiny                          a.微小的，渺小的
1501. tip                           ①n.梢，尖，末端 ②n.小费 v.给小费
1502. tired                         a.疲倦的，疲乏的；厌倦的，厌烦的
1503. title                         n.名称，标题；称号，头衔；权利，资格
1504. to                            prep.向，往；到；为了；引起；比；按照
1505. today                         n.今天；目前 ad.今天；目前，当今
1506. together                      ad.一起地，共同地；相互，彼此
1507. toilet                        n.盥洗室，厕所；梳洗，化妆
1508. tomato                        n.番茄，西红柿
1509. tomorrow                      ad.明天 n.明天；未来，来日
1510. ton                           n.吨
1511. tongue                        n.舌，舌头；语言，口语；舌状物；口才
1512. tonight                       ad.今晚
1513. too                           ad.也，而且；太，过分
1514. tool                          n.工具，器具；走狗，傀儡
1515. tooth                         n.牙齿；齿状物
1516. toothache                     n.牙痛
1517. toothbrush                    n.牙刷
1518. toothpaste                    n.牙膏
1519. top                           n.顶；上表面；首位；顶点 v.达于…的顶峰
1520. total                         a.全部的；完全的 n.总数，总额 v.总计
1521. touch                         v.接触；轻击；触动；涉及 n.接触；触觉
1522. tour                          n.旅行；观摩；巡回演出；公差 v.旅行
1523. tourist                       n.旅游者
1524. toward                        prep.向，对；对于，关于；接近；为了
1525. towel                         n.毛巾，手巾
1526. tower                         n.塔，高楼；(作发射信号等用)铁塔 v.高耸
1527. town                          n.城镇，市镇；闹市，市中心
1528. toy                           n.玩具 v.(以…)自娱；玩弄
1529. trade                         n.交易；行业；贸易额；职业 v.买卖；交换
1530. traditional                   a.按照传统的，传统的
1531. traffic                       n.交通；(非法物品)交易；运输业；交通量
1532. train                         ①n.火车，列车；连续 ②v.训练，培养
1533. training                      n.锻炼，训练，培养
1534. translate                     v.翻译；解释，阐明；变换，转化
1535. travel                        v.旅行，游历；行进 n.旅行；<pl>海外旅行
1536. treasure                      n.金银财宝；瑰宝 v.珍重，珍惜；珍藏
1537. treat                         v.对待；处理；治疗；讨论；谈判 n.款待
1538. treatment                     n.待遇，对待；处理；治疗，疗法
1539. tree                          n.树，树木
1540. trip                          n.短途旅行，远足 v.跌倒，绊倒
1541. trouble                       n.困难，麻烦；烦劳；故障 v.(使)烦恼
1542. trousers                      n.裤子，长裤
1543. truck                         n.(载货)卡车，货车；(BrE)铁路敞篷货车
1544. true                          a.真实的，确实的；忠实的，忠诚的
1545. trust                         n.信任；托管；职责；信托物 v.信任；委托
1546. truth                         n.事实，真相；真实性；真理
1547. try                           v.尝试；试验，试用；审问，审判 n.尝试
1548. Tuesday                       n.星期二
1549. turn                          v.翻；改变方向；绕过；转身 n.转动；机会
1550. twelfth                       n.&a.第十二(的)，十二分之一(的)
1551. twelve                        n.&a.十二(的)，十二个(的)
1552. twentieth                     n.&a.第二十(的)，二十分之一(的)
1553. twenty                        n.&a.二十(的)，二十个(的)
1554. twice                         ad.两次，两倍
1555. two                           n.&a.二(的)，二个(的)
1556. type                          n.典型，模范；模式，类型；铅字 v.打字
1557. ugly                          a.丑陋的；可怕的；讨厌的；丑恶的；阴沉的
1558. umbrella                      n.伞
1559. uncle                         n.伯父，叔父，舅父
1560. under                         prep.在…之下；少于；在…统治之下；因为
1561. underground                   a.地下的；秘密的 n.(BrE)地铁 ad.在地下
1562. understand                    v.理解，懂得；了解，意识到；获悉；省略
1563. unit                          n.单位；(计量的)单位，单元；小队；元件
1564. university                    n.(综合性)大学
1565. unless                        conj.如果不，除非
1566. until                         prep.&conj.到…时候，到…为止；直到…才
1567. unusual                       a.不平常的，少有的；与众不同的，独特的
1568. up                            ad.向上；起来；在上面 prep.往…的上端
1569. upon                          prep.在…之上
1570. upstairs                      ad.往楼上，在楼上 a.在楼上的
1571. us                            pron.我们(宾格)
1572. use                           v.使用，运用；消耗 n.使用；使用价值
1573. used                          a.(指衣服、汽车等)用旧了的，使用过的
1574. useful                        a.有用的，实用的；有益的
1575. usual                         a.通常的，惯常的
1576. usually                       ad.平常，通常
1577. vacation                      n.假期
1578. value                         n.价值；用处；交换价值；等值 v.定…的价
1579. vegetable                     n.蔬菜
1580. very                          ad.很，非常 a.同一的；极端的；(表示强调)
1581. victory                       n.胜利，战胜
1582. video                         a.电视录像的 n.电视录像
1583. view                          n.视力，视野；景色；看法 v.认为；观察
1584. village                       n.乡村，村庄
1585. violin                        n.小提琴
1586. visit                         v.游览，访问，参观；巡视 n.访问，参观
1587. visitor                       n.访问者，巡视者
1588. voice                         n.声音，歌声；发音能力；发言权；语态
1589. volleyball                    n.排球(运动)
1590. volunteer                     n.志愿者；志愿兵 v.自愿效劳；自动说出
1591. wait                          n.等，等待，等候 v.等，等候；耽搁
1592. wake                          ①v.醒来，唤醒 ②n.(行船在水面的)航迹
1593. walk                          v.走，步行；沿…走 n.步行；步态；人行道
1594. wall                          n.墙，墙壁
1595. want                          v.想要；追捕；缺乏；需要 n.缺乏；需要
1596. war                           n.战争
1597. warm                          a.暖和的；保暖的；亲热的 v.(使)暖和
1598. warn                          v.警告，提醒；事先通知
1599. wash                          v.洗；耐洗；洗手，洗脸；冲走 n.洗，洗涤
1600. waste                         n.损耗，浪费；废物；荒野 v.浪费 a.荒芜的
1601. watch                         v.观看，留心看；注意 n.表，手表；监视
1602. water                         n.水；水域 v.在…上泼水；供给…饮水
1603. watermelon                    n.西瓜
1604. wave                          v.挥动，挥手；(使)飘扬 n.波浪；手的挥动
1605. way                           n.路；方向；距离；方式；方面 ad.远远地
1606. we                            pron.(主格)我们
1607. weak                          a.弱的，虚弱的；淡的；软弱的；薄弱的
1608. wealth                        n.财富，(巨额的)财产；大量，丰富
1609. wear                          v.穿，戴；耗损 n.衣服；穿；磨损；耐久性
1610. weather                       n.天气，气候
1611. Wednesday                     n.星期三
1612. week                          n.星期，周
1613. weekday                       n.工作日
1614. weekend                       n.周末
1615. weigh                         v.称…的重量；重(若干)；斟酌，权衡，掂量
1616. weight                        n.重量；沉重之物；砝码，秤砣；价值；忧愁
1617. welcome                       int.欢迎 v.&n.欢迎，迎接 a.受欢迎的
1618. well                          ①ad.好；彻底地 a.健康的 int.哦 ②n.井
1619. west                          n.西，西方 a.西方的，朝西的 ad.向西方
1620. western                       a.西方的，西部的 n.美国西部小说或影片
1621. wet                           a.湿的，潮的；下雨的，多雨的 v.(使)变湿
1622. whale                         n.鲸
1623. what                          pron.&a.什么；多么，何等
1624. whatever                      pron.不管…什么，无论什么；究竟什么
1625. wheat                         n.小麦，麦粒
